Start Time, 2023-02-27 00:00:00
End Time, 2023-03-02 23:59:59
All Campaigns of:
Advertiser: Vanish(C18XVZJB4GD7)
campaign_id,campaign_name,campaign_status,Campaign Budget Type,campaign_budget,campaign_spend,views,clicks,CTR,average_cpc,ppv_direct_click,ppv_indirect_click,units_direct_click,units_indirect_click,units_direct_view,units_indirect_view,CVR,revenue_direct_click,revenue_indirect_click,revenue_direct_view,revenue_indirect_view,Direct ROI,Indirect ROI
SESFDMDF0C24,VANISH_FSN_ALL_PCA_COMP_SM_FEB-23,COMPLETED,TOTAL_BUDGET,40000.0,6958.0000,17210,160,0.9297,43.4875,31,0,21,0,508,0,3.3062,2639.0000,0.0000,60404.0000,0.0000,9.0605,0.0000
GI5HQIN0I7VQ,VANISH_FSN_ALL_PCA_SM_MAR-23,LIVE,TOTAL_BUDGET,20000.0,4653.0000,17002,246,1.4469,18.9146,58,0,78,0,1707,0,7.2561,9278.0000,0.0000,221227.0000,0.0000,49.5390,0.0000
3DQQ674515LR,Test_PCA_22 Feb,PAUSED,DAILY_BUDGET,1000.0,640.5000,5706,61,1.0691,10.5000,10,0,7,0,461,0,7.6721,756.0000,0.0000,56999.0000,0.0000,90.1717,0.0000
0KY9XD0VFRND,VANISH_FSN_ALL_PCA_BRAND_SM_FEB-23,COMPLETED,TOTAL_BUDGET,13000.0,984.6000,3926,40,1.0188,24.6150,5,0,4,0,317,0,8.0250,578.0000,0.0000,40376.0000,0.0000,41.5946,0.0000
JJXWRYBX155O,VANISH_FSN_ALL_PCA_COMP_SM_MAR-23,LIVE,TOTAL_BUDGET,2000.0,840.0000,3708,60,1.6181,14.0000,7,0,11,0,40,0,0.8500,1126.0000,0.0000,4728.0000,0.0000,6.9690,0.0000
49MHTC9UVUG8,VANISH_FSN_ALL_PCA_SM_FEB-23,COMPLETED,TOTAL_BUDGET,15000.0,461.7000,3226,30,0.9299,15.3900,11,0,21,0,348,0,12.3000,3009.0000,0.0000,44712.0000,0.0000,103.3593,0.0000
FLL70HKAYDH2,VANISH_FSN_ALL_PCA_CAT_SM_MAR-23,LIVE,TOTAL_BUDGET,5000.0,592.0000,1794,37,2.0624,16.0000,4,0,3,0,35,0,1.0270,456.0000,0.0000,4292.0000,0.0000,8.0203,0.0000
2SSI4JORNFIF,Test - PCA - 21 Jan,COMPLETED,TOTAL_BUDGET,10013.0,180.0000,1512,12,0.7937,15.0000,0,0,2,0,185,0,15.5833,292.0000,0.0000,22134.0000,0.0000,124.5889,0.0000
E8HF9R0ABA7M,VANISH_FSN_ALL_PCA_BRAND_SM_MAR-23,LIVE,TOTAL_BUDGET,2000.0,189.0000,1326,18,1.3575,10.5000,6,0,1,0,604,0,33.6111,102.0000,0.0000,75571.0000,0.0000,400.3862,0.0000
